// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\sjana\source\repos\BenchmarkingAssignment\BenchmarkingAssignment\bin\Release\netcoreapp2.2\29e615d2-9314-4206-9414-711e75a6f2b5
// command took 3.18s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\sjana\source\repos\BenchmarkingAssignment\BenchmarkingAssignment\bin\Release\netcoreapp2.2\29e615d2-9314-4206-9414-711e75a6f2b5
// command took 14.93s and exited with 1
// start dotnet build -c Release  --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\sjana\source\repos\BenchmarkingAssignment\BenchmarkingAssignment\bin\Release\netcoreapp2.2\29e615d2-9314-4206-9414-711e75a6f2b5
// command took 4.62s and exited with 0
// ***** Done, took 00:00:23 (23.18 sec)   *****
// Found 3 benchmarks:
//   ArrayVsList.ArrayBenchmark: DefaultJob
//   ArrayVsList.ListBenchmark: DefaultJob
//   ArrayVsList.StringBuilderBenchmark: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ArrayVsList.ArrayBenchmark: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "29e615d2-9314-4206-9414-711e75a6f2b5.dll" --benchmarkName "BenchmarkingAssignment.ArrayVsList.ArrayBenchmark" --job "Default" --benchmarkId 0 in C:\Users\sjana\source\repos\BenchmarkingAssignment\BenchmarkingAssignment\bin\Release\netcoreapp2.2\29e615d2-9314-4206-9414-711e75a6f2b5\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

WorkloadResult   6: 262144 op, 739237015.78 ns, 2.8200 us/op
WorkloadResult   7: 262144 op, 727180893.20 ns, 2.7740 us/op
WorkloadResult   8: 262144 op, 730279763.52 ns, 2.7858 us/op
WorkloadResult   9: 262144 op, 715765562.01 ns, 2.7304 us/op
WorkloadResult  10: 262144 op, 727894771.15 ns, 2.7767 us/op
WorkloadResult  11: 262144 op, 731605988.36 ns, 2.7909 us/op
WorkloadResult  12: 262144 op, 723834318.69 ns, 2.7612 us/op
WorkloadResult  13: 262144 op, 731246086.41 ns, 2.7895 us/op
WorkloadResult  14: 262144 op, 725228099.22 ns, 2.7665 us/op
WorkloadResult  15: 262144 op, 738711187.58 ns, 2.8180 us/op
GC:  0 0 0 0 0

// AfterAll

Mean = 2.7848 us, StdErr = 0.0072 us (0.26%); N = 15, StdDev = 0.0278 us
Min = 2.7304 us, Q1 = 2.7665 us, Median = 2.7854 us, Q3 = 2.8076 us, Max = 2.8387 us
IQR = 0.0411 us, LowerFence = 2.7049 us, UpperFence = 2.8692 us
ConfidenceInterval = [2.7550 us; 2.8145 us] (CI 99.9%), Margin = 0.0297 us (1.07% of Mean)
Skewness = 0.13, Kurtosis = 2.36, MValue = 2

// **************************
// Benchmark: ArrayVsList.StringBuilderBenchmark: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "29e615d2-9314-4206-9414-711e75a6f2b5.dll" --benchmarkName "BenchmarkingAssignment.ArrayVsList.StringBuilderBenchmark" --job "Default" --benchmarkId 2 in C:\Users\sjana\source\repos\BenchmarkingAssignment\BenchmarkingAssignment\bin\Release\netcoreapp2.2\29e615d2-9314-4206-9414-711e75a6f2b5\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 411260.07 ns, 411.2601 us/op
WorkloadJitting  1: 1 op, 470519.45 ns, 470.5194 us/op

OverheadJitting  2: 16 op, 394272.38 ns, 24.6420 us/op
WorkloadJitting  2: 16 op, 667655.64 ns, 41.7285 us/op

WorkloadPilot    1: 16 op, 138666.94 ns, 8.6667 us/op
WorkloadPilot    2: 32 op, 451951.51 ns, 14.1235 us/op
WorkloadPilot    3: 64 op, 888890.64 ns, 13.8889 us/op
WorkloadPilot    4: 128 op, 1663608.22 ns, 12.9969 us/op
WorkloadPilot    5: 256 op, 2286621.80 ns, 8.9321 us/op
WorkloadPilot    6: 512 op, 4997145.67 ns, 9.7601 us/op
WorkloadPilot    7: 1024 op, 8348856.00 ns, 8.1532 us/op
WorkloadPilot    8: 2048 op, 23478564.90 ns, 11.4641 us/op
WorkloadPilot    9: 4096 op, 34663969.71 ns, 8.4629 us/op
WorkloadPilot   10: 8192 op, 64148669.92 ns, 7.8306 us/op
WorkloadPilot   11: 16384 op, 135267822.75 ns, 8.2561 us/op
WorkloadPilot   12: 32768 op, 257876657.53 ns, 7.8698 us/op
WorkloadPilot   13: 65536 op, 512780074.63 ns, 7.8244 us/op

OverheadWarmup   1: 65536 op, 131160.75 ns, 2.0014 ns/op
OverheadWarmup   2: 65536 op, 147753.38 ns, 2.2545 ns/op
OverheadWarmup   3: 65536 op, 253630.13 ns, 3.8701 ns/op
OverheadWarmup   4: 65536 op, 183309.00 ns, 2.7971 ns/op
OverheadWarmup   5: 65536 op, 163555.88 ns, 2.4957 ns/op
OverheadWarmup   6: 65536 op, 183309.00 ns, 2.7971 ns/op
OverheadWarmup   7: 65536 op, 184494.19 ns, 2.8152 ns/op
OverheadWarmup   8: 65536 op, 174617.63 ns, 2.6645 ns/op

OverheadActual   1: 65536 op, 268247.44 ns, 4.0931 ns/op
OverheadActual   2: 65536 op, 129185.44 ns, 1.9712 ns/op
OverheadActual   3: 65536 op, 134321.25 ns, 2.0496 ns/op
OverheadActual   4: 65536 op, 129580.50 ns, 1.9772 ns/op
OverheadActual   5: 65536 op, 178173.19 ns, 2.7187 ns/op
OverheadActual   6: 65536 op, 266667.19 ns, 4.0690 ns/op
OverheadActual   7: 65536 op, 129185.44 ns, 1.9712 ns/op
OverheadActual   8: 65536 op, 250074.57 ns, 3.8158 ns/op
OverheadActual   9: 65536 op, 485926.89 ns, 7.4147 ns/op
OverheadActual  10: 65536 op, 168691.69 ns, 2.5740 ns/op
OverheadActual  11: 65536 op, 191210.25 ns, 2.9176 ns/op
OverheadActual  12: 65536 op, 207012.75 ns, 3.1588 ns/op
OverheadActual  13: 65536 op, 311704.32 ns, 4.7562 ns/op
OverheadActual  14: 65536 op, 173037.38 ns, 2.6403 ns/op
OverheadActual  15: 65536 op, 186074.44 ns, 2.8393 ns/op
OverheadActual  16: 65536 op, 158815.13 ns, 2.4233 ns/op
OverheadActual  17: 65536 op, 154074.38 ns, 2.3510 ns/op
OverheadActual  18: 65536 op, 613532.08 ns, 9.3618 ns/op
OverheadActual  19: 65536 op, 203457.19 ns, 3.1045 ns/op
OverheadActual  20: 65536 op, 244938.76 ns, 3.7375 ns/op

WorkloadWarmup   1: 65536 op, 558241102.70 ns, 8.5181 us/op
WorkloadWarmup   2: 65536 op, 541966897.71 ns, 8.2698 us/op
WorkloadWarmup   3: 65536 op, 556562482.10 ns, 8.4925 us/op
WorkloadWarmup   4: 65536 op, 548177280.35 ns, 8.3645 us/op
WorkloadWarmup   5: 65536 op, 534226833.04 ns, 8.1517 us/op
WorkloadWarmup   6: 65536 op, 571273819.80 ns, 8.7169 us/op
WorkloadWarmup   7: 65536 op, 547221229.08 ns, 8.3499 us/op

// BeforeActualRun
WorkloadActual   1: 65536 op, 533333201.65 ns, 8.1380 us/op
WorkloadActual   2: 65536 op, 516831045.59 ns, 7.8862 us/op
WorkloadActual   3: 65536 op, 519302161.58 ns, 7.9239 us/op
WorkloadActual   4: 65536 op, 527133485.70 ns, 8.0434 us/op
WorkloadActual   5: 65536 op, 537015579.29 ns, 8.1942 us/op
WorkloadActual   6: 65536 op, 510827675.71 ns, 7.7946 us/op
WorkloadActual   7: 65536 op, 532806188.26 ns, 8.1300 us/op
WorkloadActual   8: 65536 op, 514242200.97 ns, 7.8467 us/op
WorkloadActual   9: 65536 op, 527213288.32 ns, 8.0446 us/op
WorkloadActual  10: 65536 op, 539848572.54 ns, 8.2374 us/op
WorkloadActual  11: 65536 op, 513634989.90 ns, 7.8374 us/op
WorkloadActual  12: 65536 op, 538534989.70 ns, 8.2174 us/op
WorkloadActual  13: 65536 op, 518923691.70 ns, 7.9181 us/op
WorkloadActual  14: 65536 op, 523993528.88 ns, 7.9955 us/op
WorkloadActual  15: 65536 op, 542205910.53 ns, 8.2734 us/op
WorkloadActual  16: 65536 op, 517584429.80 ns, 7.8977 us/op
WorkloadActual  17: 65536 op, 527468498.70 ns, 8.0485 us/op

// AfterActualRun
WorkloadResult   1: 65536 op, 533144559.30 ns, 8.1351 us/op
WorkloadResult   2: 65536 op, 516642403.24 ns, 7.8833 us/op
WorkloadResult   3: 65536 op, 519113519.24 ns, 7.9210 us/op
WorkloadResult   4: 65536 op, 526944843.35 ns, 8.0405 us/op
WorkloadResult   5: 65536 op, 536826936.94 ns, 8.1913 us/op
WorkloadResult   6: 65536 op, 510639033.36 ns, 7.7917 us/op
WorkloadResult   7: 65536 op, 532617545.91 ns, 8.1271 us/op
WorkloadResult   8: 65536 op, 514053558.62 ns, 7.8438 us/op
WorkloadResult   9: 65536 op, 527024645.97 ns, 8.0418 us/op
WorkloadResult  10: 65536 op, 539659930.19 ns, 8.2346 us/op
WorkloadResult  11: 65536 op, 513446347.55 ns, 7.8346 us/op
WorkloadResult  12: 65536 op, 538346347.35 ns, 8.2145 us/op
WorkloadResult  13: 65536 op, 518735049.35 ns, 7.9153 us/op
WorkloadResult  14: 65536 op, 523804886.53 ns, 7.9926 us/op
WorkloadResult  15: 65536 op, 542017268.18 ns, 8.2705 us/op
WorkloadResult  16: 65536 op, 517395787.45 ns, 7.8948 us/op
WorkloadResult  17: 65536 op, 527279856.36 ns, 8.0457 us/op
GC:  0 0 0 0 0

// AfterAll

Mean = 8.0223 us, StdErr = 0.0372 us (0.46%); N = 17, StdDev = 0.1532 us
Min = 7.7917 us, Q1 = 7.8891 us, Median = 8.0405 us, Q3 = 8.1632 us, Max = 8.2705 us
IQR = 0.2741 us, LowerFence = 7.4779 us, UpperFence = 8.5745 us
ConfidenceInterval = [7.8731 us; 8.1714 us] (CI 99.9%), Margin = 0.1492 us (1.86% of Mean)
Skewness = 0.13, Kurtosis = 1.52, MValue = 2

Successfully reverted power plan (GUID: 381b4222-f694-41f0-9685-ff5bb260df2e FriendlyName: Balanced)
// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts\results\BenchmarkingAssignment.ArrayVsList-report.csv
  BenchmarkDotNet.Artifacts\results\BenchmarkingAssignment.ArrayVsList-report-github.md
  BenchmarkDotNet.Artifacts\results\BenchmarkingAssignment.ArrayVsList-report.html

// * Detailed results *
ArrayVsList.ArrayBenchmark: DefaultJob
Runtime = .NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT; GC = Concurrent Workstation
Mean = 932.6241 ns, StdErr = 2.4164 ns (0.26%); N = 15, StdDev = 9.3587 ns
Min = 916.4281 ns, Q1 = 925.1675 ns, Median = 931.1470 ns, Q3 = 941.2706 ns, Max = 949.4139 ns
IQR = 16.1031 ns, LowerFence = 901.0127 ns, UpperFence = 965.4253 ns
ConfidenceInterval = [922.6190 ns; 942.6291 ns] (CI 99.9%), Margin = 10.0050 ns (1.07% of Mean)
Skewness = 0.09, Kurtosis = 1.92, MValue = 2
-------------------- Histogram --------------------
[913.108 ns ; 952.734 ns) | @@@@@@@@@@@@@@@
---------------------------------------------------

ArrayVsList.ListBenchmark: DefaultJob
Runtime = .NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT; GC = Concurrent Workstation
Mean = 2.7848 us, StdErr = 0.0072 us (0.26%); N = 15, StdDev = 0.0278 us
Min = 2.7304 us, Q1 = 2.7665 us, Median = 2.7854 us, Q3 = 2.8076 us, Max = 2.8387 us
IQR = 0.0411 us, LowerFence = 2.7049 us, UpperFence = 2.8692 us
ConfidenceInterval = [2.7550 us; 2.8145 us] (CI 99.9%), Margin = 0.0297 us (1.07% of Mean)
Skewness = 0.13, Kurtosis = 2.36, MValue = 2
-------------------- Histogram --------------------
